local_epochs,r,precision,train_loss,train_acc,test_loss,test_acc
20.0,1.0,7.0,0.5689458394010658,0.8012024020862006,0.5882098774289439,0.7933867705131102
20.0,0.8,7.0,0.6190771490432516,0.7819639258609267,0.6358795505043171,0.7767535060464977
20.0,0.6,7.0,0.6713557982283508,0.7621242477444704,0.6861176927590776,0.7595190360455332
20.0,1.0,6.0,0.4887207800789339,0.830060115498388,0.4904684325374984,0.8278557073496625
20.0,1.0,5.0,0.4040314530307998,0.8436873708077088,0.4145324724513612,0.8426853661427278
17.0,1.0,7.0,0.5066604663072927,0.8106212390806966,0.5234947495800788,0.8074148262669901
14.0,1.0,7.0,0.5037129059740023,0.817635266002051,0.5154880915314914,0.8176352660617752
